x	y	z (elevasi)	gFA	x parasnis	y parasnis	g Bouger	SBA
738089.0933	9689510.616	581	131.5	24.35552	131.5	56.017696	75.482304
739935.3582	9689507.221	893	137.8	37.43456	137.8	86.099488	51.700512
741792.7656	9689503.78	1127	147	47.24384	147	108.660832	38.339168
743650.1936	9689500.312	1317	157.3	55.20864	157.3	126.979872	30.320128
745496.5199	9689496.838	1471	168	61.66432	168	141.827936	26.172064
747353.9894	9689493.317	1775	178.1	74.408	178.1	171.1384	6.9616
749211.48	9689489.769	1761	187.6	73.82112	187.6	169.788576	17.811424
751057.869	9689486.217	1565	196.7	65.6048	196.7	150.89104	45.80896
752915.4021	9689482.616	1301	206.1	54.53792	206.1	125.437216	80.662784
754772.9568	9689478.989	1539	216.5	64.51488	216.5	148.384224	68.115776
756619.4099	9689475.357	2065	228	86.5648	228	199.09904	28.90096
758477.008	9689471.676	2277	240.1	95.45184	240.1	219.539232	20.560768
760334.6281	9689467.969	1959	251.8	82.12128	251.8	188.878944	62.921056
762181.1467	9689464.258	2253	260.9	94.44576	260.9	217.225248	43.674752
764038.8113	9689460.498	2237	265.7	93.77504	265.7	215.682592	50.017408
765896.4983	9689456.711	2365	264.3	99.1408	264.3	228.02384	36.27616
767743.0839	9689452.921	2165	255.8	90.7568	255.8	208.74064	47.05936
769600.8163	9689449.081	1993	240.8	83.54656	240.8	192.157088	48.642912
771458.5716	9689445.215	1731	220.5	72.56352	220.5	166.896096	53.603904
773305.2256	9689441.346	1617	198.4	67.78464	198.4	155.904672	42.495328
775163.0272	9689437.426	1563	177.2	65.52096	177.2	150.698208	26.501792
777020.8523	9689433.48	2017	161.1	84.55264	161.1	194.471072	-33.371072
778867.5761	9689429.532	1793	152.5	75.16256	152.5	172.873888	-20.373888
780725.4484	9689425.532	1453	153.5	60.90976	153.5	140.092448	13.407552
782583.3446	9689421.507	1605	164.1	67.2816	164.1	154.74768	9.35232
784430.1396	9689417.479	1751	182.5	73.40192	182.5	168.824416	13.675584
786288.084	9689413.4	1681	206.4	70.46752	206.4	162.075296	44.324704
788146.0528	9689409.295	1877	231.4	78.68384	231.4	180.972832	50.427168
738085.7001	9687663.427	735	138.1	30.8112	138.1	70.86576	67.23424
739931.9387	9687660.012	911	145.6	38.18912	145.6	87.834976	57.765024
741789.3196	9687656.55	943	156.2	39.53056	156.2	90.920288	65.279712
743646.7211	9687653.061	1055	168.5	44.2256	168.5	101.71888	66.78112
745493.0209	9687649.567	1271	181.5	53.28032	181.5	122.544736	58.955264
747350.4639	9687646.025	1505	193.6	63.0896	193.6	145.10608	48.49392
749207.928	9687642.456	1695	204.5	71.0544	204.5	163.42512	41.07488
751054.2906	9687638.883	1957	213.8	82.03744	213.8	188.686112	25.113888
