T	Rho Liquid	Rho Steam
80	971.7787936	0.001029041
81	971.1535272	0.001029703
82	970.5232536	0.001030372
83	969.8880048	0.001031047
84	969.2478113	0.001031728
85	968.6027033	0.001032415
86	967.9527098	0.001033108
87	967.2978591	0.001033808
88	966.6381788	0.001034513
89	965.9736956	0.001035225
90	965.3044353	0.001035943
91	964.6304233	0.001036666
92	963.9516838	0.001037396
93	963.2682406	0.001038132
94	962.5801167	0.001038875
95	961.8873344	0.001039623
96	961.1899152	0.001040377
97	960.48788	0.001041138
98	959.781249	0.001041904
99	959.0700418	0.001042677
100	958.3542773	0.001043455
101	957.6339737	0.00104424
102	956.9091488	0.001045031
103	956.1798194	0.001045828
104	955.446002	0.001046632
105	954.7077124	0.001047441
106	953.9649657	0.001048257
107	953.2177767	0.001049078
108	952.4661592	0.001049906
109	951.7101268	0.00105074
110	950.9496923	0.00105158
111	950.1848681	0.001052427
112	949.415666	0.001053279
113	948.6420971	0.001054138
114	947.8641722	0.001055003
115	947.0819013	0.001055875
116	946.2952942	0.001056753
117	945.50436	0.001057637
118	944.7091071	0.001058527
119	943.9095438	0.001059424
120	943.1056775	0.001060327
121	942.2975153	0.001061236
122	941.4850637	0.001062152
123	940.668329	0.001063074
124	939.8473165	0.001064003
125	939.0220314	0.001064938
126	938.1924783	0.001065879
127	937.3586614	0.001066828
128	936.5205842	0.001067782
129	935.67825	0.001068743
130	934.8316615	0.001069711
131	933.9808209	0.001070686
132	933.1257299	0.001071667
133	932.2663899	0.001072655
134	931.4028018	0.001073649
135	930.5349659	0.001074651
136	929.6628822	0.001075659
137	928.7865501	0.001076674
138	927.9059688	0.001077695
139	927.0211367	0.001078724
140	926.132052	0.00107976
141	925.2387125	0.001080802
142	924.3411152	0.001081852
143	923.4392571	0.001082908
144	922.5331346	0.001083972
145	921.6227434	0.001085043
146	920.7080791	0.001086121
147	919.7891366	0.001087206
148	918.8659107	0.001088298
149	917.9383954	0.001089398
150	917.0065844	0.001090505
151	916.070471	0.001091619
152	915.130048	0.001092741
153	914.1853078	0.00109387
154	913.2362423	0.001095007
155	912.282843	0.001096151
156	911.325101	0.001097303
157	910.3630069	0.001098463
158	909.3965508	0.00109963
159	908.4257224	0.001100805
160	907.4505111	0.001101988
161	906.4709056	0.001103179
162	905.4868944	0.001104378
163	904.4984653	0.001105585
164	903.5056058	0.0011068
165	902.508303	0.001108023
166	901.5065433	0.001109254
167	900.500313	0.001110494
168	899.4895977	0.001111742
169	898.4743825	0.001112998
170	897.4546521	0.001114262
171	896.4303909	0.001115536
172	895.4015826	0.001116817
173	894.3682105	0.001118108
174	893.3302574	0.001119407
175	892.2877058	0.001120715
176	891.2405374	0.001122032
177	890.1887337	0.001123357
178	889.1322756	0.001124692
179	888.0711435	0.001126036
180	887.0053173	0.001127389
181	885.9347764	0.001128751
182	884.8594998	0.001130123
183	883.7794658	0.001131504
184	882.6946524	0.001132895
185	881.6050369	0.001134295
186	880.5105962	0.001135705
187	879.4113065	0.001137124
188	878.3071438	0.001138554
189	877.1980832	0.001139993
190	876.0840995	0.001141443
191	874.9651668	0.001142903
192	873.8412588	0.001144373
193	872.7123485	0.001145853
194	871.5784083	0.001147344
195	870.4394103	0.001148845
196	869.2953257	0.001150357
197	868.1461253	0.00115188
198	866.9917792	0.001153413
199	865.8322569	0.001154958
200	864.6675275	0.001156514
201	863.4975592	0.001158081
202	862.3223197	0.001159659
203	861.141776	0.001161249
204	859.9558947	0.00116285
205	858.7646413	0.001164463
206	857.5679811	0.001166088
207	856.3658784	0.001167725
208	855.1582969	0.001169374
209	853.9451997	0.001171035
210	852.7265492	0.001172709
211	851.5023069	0.001174395
212	850.2724336	0.001176094
213	849.0368896	0.001177805
214	847.7956342	0.00117953
215	846.5486259	0.001181267
216	845.2958227	0.001183018
217	844.0371815	0.001184782
218	842.7726585	0.00118656
219	841.5022092	0.001188351
220	840.2257879	0.001190156
221	838.9433483	0.001191976
222	837.6548433	0.001193809
223	836.3602247	0.001195657
224	835.0594434	0.00119752
225	833.7524494	0.001199397
226	832.4391918	0.001201289
227	831.1196186	0.001203196
228	829.7936768	0.001205119
229	828.4613124	0.001207057
230	827.1224705	0.001209011
231	825.7770948	0.001210981
232	824.4251281	0.001212966
233	823.0665121	0.001214969
234	821.7011871	0.001216987
235	820.3290924	0.001219023
236	818.950166	0.001221076
237	817.5643447	0.001223145
238	816.171564	0.001225233
239	814.7717579	0.001227338
240	813.3648592	0.001229461
241	811.9507992	0.001231602
242	810.5295078	0.001233761
243	809.1009135	0.00123594
244	807.664943	0.001238137
245	806.2215217	0.001240354
246	804.7705731	0.00124259
247	803.3120192	0.001244846
248	801.8457803	0.001247123
249	800.3717748	0.001249419
250	798.8899193	0.001251737
251	797.4001284	0.001254076
252	795.902315	0.001256436
253	794.3963896	0.001258817
254	792.8822609	0.001261221
255	791.3598354	0.001263648
256	789.8290171	0.001266097
257	788.2897081	0.001268569
258	786.7418079	0.001271065
259	785.1852133	0.001273585
260	783.619819	0.001276129
261	782.0455168	0.001278698
262	780.4621957	0.001281292
263	778.869742	0.001283912
264	777.2680391	0.001286557
265	775.6569673	0.00128923
266	774.0364038	0.001291929
267	772.4062224	0.001294656
268	770.7662937	0.00129741
269	769.1164848	0.001300193
270	767.4566591	0.001303005
271	765.7866765	0.001305847
272	764.1063927	0.001308718
273	762.4156597	0.00131162
274	760.7143251	0.001314554
275	759.0022324	0.001317519
276	757.2792205	0.001320517
277	755.5451239	0.001323548
278	753.7997722	0.001326612
279	752.0429901	0.001329711
280	750.2745973	0.001332845
281	748.494408	0.001336015
282	746.7022313	0.001339222
283	744.8978704	0.001342466
284	743.0811228	0.001345748
285	741.25178	0.001349069
286	739.4096274	0.00135243
287	737.5544437	0.001355832
288	735.6860012	0.001359276
289	733.8040655	0.001362762
290	731.9083949	0.001366291
291	729.9987406	0.001369865
292	728.0748462	0.001373485
293	726.1364478	0.001377152
294	724.1832732	0.001380866
295	722.2150423	0.001384629
296	720.2314661	0.001388443
297	718.2322473	0.001392307
298	716.2170791	0.001396225
299	714.1856457	0.001400196
300	712.1376211	0.001404223
301	710.0726697	0.001408307
302	707.9904451	0.001412448
303	705.8905901	0.00141665
304	703.7727362	0.001420913
305	701.6365029	0.001425239
306	699.4814972	0.00142963
307	697.3073133	0.001434088
308	695.1135312	0.001438614
309	692.8997165	0.00144321
310	690.6654193	0.001447879
